angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.04,"[94, 178, 234, 290]",0.0,0.0,0.22,0.73,0.0,0.0
0.04,"[96, 175, 233, 291]",0.0,0.0,0.71,0.23,0.01,0.01
0.01,"[97, 175, 228, 286]",0.0,0.0,0.82,0.16,0.0,0.0
0.01,"[96, 175, 229, 287]",0.0,0.0,0.89,0.1,0.0,0.0
0.01,"[96, 175, 227, 285]",0.0,0.0,0.86,0.13,0.0,0.0
0.0,"[96, 173, 228, 287]",0.0,0.0,0.94,0.05,0.0,0.0
0.01,"[96, 173, 229, 288]",0.0,0.0,0.95,0.03,0.0,0.0
0.01,"[95, 170, 232, 290]",0.0,0.0,0.93,0.05,0.0,0.0
0.01,"[95, 170, 232, 290]",0.0,0.0,0.93,0.05,0.0,0.0
0.01,"[95, 170, 232, 290]",0.0,0.0,0.93,0.05,0.0,0.0
0.02,"[95, 170, 230, 291]",0.0,0.0,0.9,0.07,0.0,0.01
0.02,"[95, 171, 232, 291]",0.0,0.0,0.9,0.07,0.0,0.0
0.02,"[93, 170, 234, 293]",0.0,0.0,0.95,0.03,0.0,0.0
0.01,"[93, 170, 234, 292]",0.0,0.0,0.98,0.01,0.0,0.0
0.01,"[93, 170, 234, 292]",0.0,0.0,0.97,0.02,0.0,0.0
0.01,"[93, 171, 234, 290]",0.0,0.0,0.98,0.01,0.0,0.0
0.01,"[92, 171, 234, 289]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[92, 171, 233, 289]",0.0,0.0,0.98,0.01,0.0,0.0
0.0,"[92, 171, 233, 289]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[92, 174, 232, 285]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[92, 174, 233, 286]",0.0,0.0,0.99,0.01,0.0,0.0
0.01,"[93, 174, 232, 285]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[91, 174, 234, 287]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[91, 174, 234, 287]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[93, 171, 232, 289]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[94, 171, 233, 288]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[92, 171, 233, 288]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[92, 171, 233, 288]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[94, 171, 233, 292]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[95, 170, 233, 288]",0.0,0.0,0.99,0.0,0.0,0.0
0.01,"[94, 171, 234, 286]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[96, 170, 233, 288]",0.0,0.0,1.0,0.0,0.0,0.0
0.01,"[95, 167, 233, 291]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[94, 165, 233, 294]",0.0,0.0,0.99,0.0,0.0,0.0
